# gamble_id, class_id, h_ret, h_prob, m_ret, m_prob, l_ret, l_prob
0, 12, 0.988790, 0.322299, 0.980274, 0.506432, 0.571646, 0.171269 
1, 3, 8.877988, 0.109899, 0.707095, 0.645707, 0.041204, 0.244395 
2, 6, 4.007436, 0.412301, 2.460580, 0.472788, 0.117360, 0.114911 
3, 1, 12.355203, 0.043746, 4.101170, 0.666117, 1.702066, 0.290137 
4, 6, 2.327911, 0.279612, 0.006310, 0.475448, 0.000538, 0.244940 
5, 14, 0.106729, 0.189243, 0.027355, 0.739047, 0.024912, 0.071710 
6, 11, 7.867715, 0.174237, 3.139333, 0.660135, 2.903371, 0.165629 
7, 8, 1.579601, 0.323343, 0.729601, 0.449132, 0.037184, 0.227525 
8, 5, 53.746270, 0.031453, 1.080278, 0.472576, 0.588742, 0.495972 
9, 15, 1.563048, 0.063030, 0.854563, 0.669685, 0.190274, 0.267286 
10, 10, 4.097381, 0.254082, 3.223992, 0.563408, 0.539846, 0.182510 
11, 13, 7.196291, 0.327427, 2.663330, 0.439576, 1.977287, 0.232996 
12, 8, 2.110037, 0.513339, 2.080872, 0.460681, 0.755687, 0.025980 
13, 6, 0.419392, 0.111214, 0.197359, 0.495629, 0.188637, 0.393157 
14, 5, 13.139777, 0.203038, 0.725151, 0.599784, 0.671792, 0.197178 
15, 3, 0.643756, 0.229124, 0.604198, 0.479768, 0.517967, 0.291107 
16, 15, 3.579999, 0.275499, 2.961400, 0.544585, 0.008651, 0.179916 
17, 10, 57.689308, 0.013737, 1.976293, 0.677074, 0.771461, 0.309189 
18, 8, 4.794386, 0.176240, 1.193919, 0.798772, 1.166378, 0.024988 
19, 6, 0.313371, 0.280917, 0.115806, 0.461112, 0.094411, 0.257970 
20, 3, 6.020489, 0.196263, 0.182086, 0.684597, 0.019976, 0.119140 
21, 5, 5.050952, 0.215633, 3.722004, 0.585751, 3.496417, 0.198616 
22, 2, 5.025977, 0.291839, 3.961975, 0.403855, 0.337301, 0.304306 
23, 13, 3.097024, 0.348263, 2.873140, 0.543118, 2.675206, 0.108620 
24, 13, 1.994026, 0.200903, 1.840456, 0.426300, 0.438630, 0.372797 
25, 12, 1.786567, 0.040820, 0.706943, 0.650388, 0.384566, 0.308792 
26, 4, 6.184672, 0.194787, 1.943572, 0.475724, 0.995690, 0.329489 
27, 3, 84.996484, 0.025972, 1.309377, 0.954023, 0.275261, 0.020005 
28, 13, 5.820234, 0.237785, 0.670424, 0.663486, 0.569676, 0.098730 
29, 12, 2.991441, 0.194206, 0.884561, 0.553294, 0.803757, 0.252501 
30, 10, 0.915909, 0.339265, 0.894278, 0.539644, 0.894269, 0.121091 
31, 10, 24.629819, 0.012800, 0.376822, 0.712547, 0.033033, 0.274653 
32, 11, 1.535440, 0.283350, 1.324994, 0.693018, 1.028980, 0.023633 
33, 5, 10.021223, 0.280935, 0.387248, 0.591716, 0.088243, 0.127349 
34, 11, 15.158175, 0.080683, 3.038877, 0.736481, 1.358934, 0.182836 
35, 2, 1.564198, 0.275243, 0.522955, 0.600551, 0.234869, 0.124206 
36, 12, 6.370579, 0.318616, 1.419989, 0.431463, 1.143336, 0.249921 
37, 3, 3.192775, 0.350702, 1.317196, 0.496209, 0.741760, 0.153089 
